_id,model_year,make,model,vehicle_class,motor_(kw),transmission,fuel_type,city_(kwh/100_km),highway_(kwh/100_km),combined_(kwh/100_km),city_(le/100_km),highway_(le/100_km),combined_(le/100_km),range_(km),co2_emissions_(g/km),co2_rating,smog_rating,recharge_time_(h),display_name
25471,2012,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7,2012 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25472,2012,Nissan,LEAF Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,19.3,23.0,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7,2012 Nissan LEAF Mid-size 80 kW Automatic 1-Gear
25473,2013,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,0,n/a,n/a,4,2013 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25474,2013,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7,2013 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25475,2013,Nissan,LEAF Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,19.3,23.0,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7,2013 Nissan LEAF Mid-size 80 kW Automatic 1-Gear
25476,2013,smart,fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2013 smart fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear
25477,2013,smart,fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2013 smart fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear
25478,2013,Tesla,Model S (40 kWh) Full-size 225 kW Automatic 1-Gear,Full-size,225,A1,B,22.4,21.9,22.2,2.5,2.5,2.5,224,0,n/a,n/a,6,2013 Tesla Model S (40 kWh) Full-size 225 kW Automatic 1-Gear
25479,2013,Tesla,Model S (60 kWh) Full-size 225 kW Automatic 1-Gear,Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10,2013 Tesla Model S (60 kWh) Full-size 225 kW Automatic 1-Gear
25480,2013,Tesla,Model S (85 kWh) Full-size 270 kW Automatic 1-Gear,Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12,2013 Tesla Model S (85 kWh) Full-size 270 kW Automatic 1-Gear
25481,2013,Tesla,Model S Performance Full-size 310 kW Automatic 1-Gear,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12,2013 Tesla Model S Performance Full-size 310 kW Automatic 1-Gear
25482,2014,Chevrolet,Spark EV Subcompact 104 kW Automatic 1-Gear,Subcompact,104,A1,B,16.0,19.6,17.8,1.8,2.2,2.0,131,0,n/a,n/a,7,2014 Chevrolet Spark EV Subcompact 104 kW Automatic 1-Gear
25483,2014,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,0,n/a,n/a,4,2014 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25484,2014,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7,2014 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25485,2014,Nissan,LEAF Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5,2014 Nissan LEAF Mid-size 80 kW Automatic 1-Gear
25486,2014,smart,fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2014 smart fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear
25487,2014,smart,fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2014 smart fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear
25488,2014,Tesla,Model S (60 kWh) Full-size 225 kW Automatic 1-Gear,Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10,2014 Tesla Model S (60 kWh) Full-size 225 kW Automatic 1-Gear
25489,2014,Tesla,Model S (85 kWh) Full-size 270 kW Automatic 1-Gear,Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12,2014 Tesla Model S (85 kWh) Full-size 270 kW Automatic 1-Gear
25490,2014,Tesla,Model S Performance Full-size 310 kW Automatic 1-Gear,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12,2014 Tesla Model S Performance Full-size 310 kW Automatic 1-Gear
25491,2015,BMW,i3 Subcompact 125 kW Automatic 1-Gear,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,n/a,n/a,4,2015 BMW i3 Subcompact 125 kW Automatic 1-Gear
25492,2015,Chevrolet,Spark EV Subcompact 104 kW Automatic 1-Gear,Subcompact,104,A1,B,16.0,19.6,17.8,1.8,2.2,2.0,131,0,n/a,n/a,7,2015 Chevrolet Spark EV Subcompact 104 kW Automatic 1-Gear
25493,2015,Ford,Focus Electric Compact 107 kW Automatic 1-Gear,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,0,n/a,n/a,4,2015 Ford Focus Electric Compact 107 kW Automatic 1-Gear
25494,2015,Kia,Soul EV Station wagon: Small 81 kW Automatic 1-Gear,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2.0,2.6,2.2,149,0,n/a,n/a,4,2015 Kia Soul EV Station wagon: Small 81 kW Automatic 1-Gear
25495,2015,Mitsubishi,i-MiEV Subcompact 49 kW Automatic 1-Gear,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7,2015 Mitsubishi i-MiEV Subcompact 49 kW Automatic 1-Gear
25496,2015,Nissan,LEAF Mid-size 80 kW Automatic 1-Gear,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5,2015 Nissan LEAF Mid-size 80 kW Automatic 1-Gear
25497,2015,smart,fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2015 smart fortwo electric drive cabriolet Two-seater 35 kW Automatic 1-Gear
25498,2015,smart,fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8,2015 smart fortwo electric drive coupe Two-seater 35 kW Automatic 1-Gear
25499,2015,Tesla,Model S (60 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10,2015 Tesla Model S (60 kWh) Full-size 285 kW Automatic 1-Gear
25500,2015,Tesla,Model S (70 kWh) Full-size 285 kW Automatic 1-Gear,Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,n/a,n/a,12,2015 Tesla Model S (70 kWh) Full-size 285 kW Automatic 1-Gear
