_id,model_year,make,model,vehicle_class,motor_(kw),engine_size_(l),cylinders,transmission,fuel_type_1,combined_le/100_km,range_1_(km),recharge_time_(h),fuel_type_2,city_(l/100_km),highway_(l/100_km),combined_(l/100_km),range_2_(km),co2_emissions_(g/km),co2_rating,smog_rating,display_name
3175,2012,Chevrolet,Volt Compact 1.4L + 111 kW 4 Cyl Automatic,Compact,111,1.4,4,AV,B,2.5 (22.3 kWh/100 km),56,4,Z,6.7,5.9,6.4,550,54,n/a,n/a,2012 Chevrolet Volt Compact 1.4L + 111 kW 4 Cyl Automatic
3176,2013,Chevrolet,Volt Compact 1.4L + 111 kW 4 Cyl Automatic,Compact,111,1.4,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,n/a,n/a,2013 Chevrolet Volt Compact 1.4L + 111 kW 4 Cyl Automatic
3177,2013,Ford,C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2013 Ford C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3178,2013,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2013 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3179,2013,Toyota,Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic,Mid-size,60,1.8,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1.5,X,4.7,4.8,4.7,845,101,n/a,n/a,2013 Toyota Prius Plug-in Hybrid Mid-size 1.8L + 60 kW 4 Cyl Automatic
3180,2014,Cadillac,ELR Compact 1.4L + 117 kW 4 Cyl Automatic,Compact,117,1.4,4,AV,B,2.9 (25.3 kWh/100 km),59,5,Z,7.6,6.7,7.2,493,50,n/a,n/a,2014 Cadillac ELR Compact 1.4L + 117 kW 4 Cyl Automatic
3181,2014,Chevrolet,Volt Compact 1.4L + 111 kW 4 Cyl Automatic,Compact,111,1.4,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6.7,5.9,6.4,550,45,n/a,n/a,2014 Chevrolet Volt Compact 1.4L + 111 kW 4 Cyl Automatic
3182,2014,Ford,C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2014 Ford C-MAX Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3183,2014,Ford,Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic,Mid-size,35,2.0,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2.5,X,5.8,6.5,6.1,856,80,n/a,n/a,2014 Ford Fusion Energi Mid-size 2.0L + 35 kW 4 Cyl Automatic
3184,2014,Porsche,Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear,Full-size,71,3.0,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10.4,8.0,9.3,871,142,n/a,n/a,2014 Porsche Panamera S E-Hybrid Full-size 3.0L + 71 kW 6 Cyl Automatic 8-Gear
